colonne,min_fin_fenetre,id_joueur,date_match,moment,mean,std,skewness,kurtosis,RMS,IQR,Q10,Q25,median,Q75,Q90,prop_sup_seuil
ACC X,15,joueur_03,match_20220807,MT1,-0.0780889,0.325056,-0.171859,9.53249,0.334304,0.942204,-0.386239,-0.223831,-0.0804277,0.0603341,0.235007,
ACC Y,15,joueur_03,match_20220807,MT1,-0.91211,0.636594,-0.146176,1.60493,1.11229,2.3809,-1.67522,-1.15683,-0.91829,-0.726871,0.020284,
ACC Z,15,joueur_03,match_20220807,MT1,-0.349086,0.317887,-1.14024,4.34994,0.472137,0.987166,-0.76882,-0.488009,-0.277885,-0.164872,-0.0517673,
GYRO X,15,joueur_03,match_20220807,MT1,5.8899,40.1794,0.271952,8.3213,40.6088,115.859,-32.6031,-10.6606,5.35298,22.4585,43.2869,
GYRO Y,15,joueur_03,match_20220807,MT1,2.74496,84.8873,-0.0167596,2.80347,84.9317,302.192,-97.9896,-30.397,2.61281,37.4961,100.305,
GYRO Z,15,joueur_03,match_20220807,MT1,4.2668,48.7939,-0.047594,7.06818,48.9801,154.78,-43.9234,-15.3638,3.88775,24.7948,53.1774,
NormeGradAcc,15,joueur_03,match_20220807,MT1,0.0424767,0.0492058,1.96011,4.31262,0.0650037,0.146827,0.00474769,0.00943484,0.0218178,0.0594853,0.114271,0.19279645191409897
NormeGradGyro,15,joueur_03,match_20220807,MT1,4.53899,5.19645,2.69689,10.7192,6.89967,14.1476,0.779945,1.35355,2.48022,5.92368,10.9714,
ACC X,30,joueur_03,match_20220807,MT1,-0.0689939,0.262551,-0.335547,15.8464,0.271465,0.771678,-0.323155,-0.185979,-0.0658384,0.0470412,0.182452,
ACC Y,30,joueur_03,match_20220807,MT1,-0.852415,0.619452,0.109516,1.2901,1.05372,2.32197,-1.43205,-1.09963,-0.913369,-0.733188,0.163802,
ACC Z,30,joueur_03,match_20220807,MT1,-0.355904,0.30994,-0.828831,4.14622,0.471944,0.967857,-0.837391,-0.494224,-0.272318,-0.164999,-0.0778431,
GYRO X,30,joueur_03,match_20220807,MT1,5.69458,34.293,0.281395,9.3504,34.7626,98.5411,-26.8373,-8.04688,5.60503,19.5759,37.3301,
GYRO Y,30,joueur_03,match_20220807,MT1,3.43221,73.4656,-0.174844,4.67703,73.5457,259.421,-70.9499,-21.1054,3.48865,28.2094,77.363,
GYRO Z,30,joueur_03,match_20220807,MT1,4.00551,39.9607,0.0801231,6.80098,40.161,128.953,-33.3919,-11.6802,3.7755,20.1355,41.4063,
NormeGradAcc,30,joueur_03,match_20220807,MT1,0.0325759,0.0417584,2.47729,8.16387,0.0529618,0.12353,0.00383654,0.00717878,0.0160937,0.0371418,0.0894065,0.13586834733893557
NormeGradGyro,30,joueur_03,match_20220807,MT1,3.46093,4.28002,3.29163,17.0256,5.50423,11.316,0.620293,1.05173,1.88191,3.96047,8.70956,
ACC X,45,joueur_03,match_20220807,MT1,-0.0643811,0.283543,-0.719015,12.7175,0.29076,0.804568,-0.335144,-0.187945,-0.0599907,0.0624967,0.20492,
ACC Y,45,joueur_03,match_20220807,MT1,-0.899491,0.580026,0.00751317,1.87943,1.07029,2.22065,-1.4617,-1.11896,-0.923359,-0.770366,-0.0196978,
ACC Z,45,joueur_03,match_20220807,MT1,-0.336425,0.30025,-1.29566,4.46082,0.450923,0.950248,-0.761575,-0.446914,-0.260373,-0.163234,-0.0759316,
GYRO X,45,joueur_03,match_20220807,MT1,5.27783,33.8497,0.158034,8.21478,34.2587,98.2239,-27.6159,-9.57463,5.1552,19.9633,38.2396,
GYRO Y,45,joueur_03,match_20220807,MT1,2.55984,73.8106,0.0235718,2.36909,73.855,262.881,-81.1702,-27.3067,2.41211,32.231,85.883,
GYRO Z,45,joueur_03,match_20220807,MT1,3.80703,41.6626,0.0788026,5.93528,41.8361,133.491,-34.7511,-12.7612,3.20967,20.8204,43.1512,
NormeGradAcc,45,joueur_03,match_20220807,MT1,0.033703,0.0416055,2.20772,5.44794,0.0535435,0.124685,0.00425579,0.00779652,0.0167581,0.0396846,0.0926666,0.14279178338001866
NormeGradGyro,45,joueur_03,match_20220807,MT1,3.46882,3.87255,2.60914,9.47047,5.19898,10.9166,0.703113,1.16029,1.98258,4.1417,8.54045,
ACC X,15,joueur_03,match_20220807,MT2,-0.0254095,0.320943,0.225768,7.68035,0.321948,1.02099,-0.324848,-0.172411,-0.0430099,0.0868336,0.283208,
ACC Y,15,joueur_03,match_20220807,MT2,-0.872637,0.630884,-0.12065,1.86435,1.07681,2.36714,-1.52004,-1.09343,-0.917916,-0.713789,0.0523287,
ACC Z,15,joueur_03,match_20220807,MT2,-0.325045,0.334412,-0.0579012,8.69259,0.466353,1.01174,-0.764559,-0.465084,-0.273457,-0.160946,-0.0228468,
GYRO X,15,joueur_03,match_20220807,MT2,5.91479,39.3486,0.256613,10.3168,39.7907,113.717,-29.8801,-9.154,5.7043,20.831,41.0846,
GYRO Y,15,joueur_03,match_20220807,MT2,2.92158,77.6737,0.0173994,4.49111,77.7287,270.834,-82.3584,-27.414,3.33568,33.8304,87.6681,
GYRO Z,15,joueur_03,match_20220807,MT2,4.64334,45.6125,0.0257999,8.41094,45.8482,143.262,-39.5095,-13.2276,4.60225,23.2466,47.6812,
NormeGradAcc,15,joueur_03,match_20220807,MT2,0.0360413,0.0469635,2.24899,5.69316,0.0591992,0.138725,0.00347878,0.00682287,0.0163452,0.0445932,0.102121,0.15788515406162465
NormeGradGyro,15,joueur_03,match_20220807,MT2,3.97897,4.86811,2.92477,12.5336,6.28735,13.0079,0.64629,1.12676,2.11688,4.88084,9.84606,
ACC X,15,joueur_09,match_20220807,MT1,0.0371124,0.307957,1.06779,31.365,0.310185,0.87845,-0.2931,-0.132675,0.0268695,0.202055,0.358773,
ACC Y,15,joueur_09,match_20220807,MT1,-0.863364,0.620731,-0.0422215,1.39694,1.06335,2.26418,-1.60439,-1.1484,-0.901041,-0.584494,0.0228214,
ACC Z,15,joueur_09,match_20220807,MT1,-0.472014,0.40617,-0.00589695,17.8815,0.622713,1.25837,-1.01982,-0.668372,-0.378895,-0.232198,-0.0710601,
GYRO X,15,joueur_09,match_20220807,MT1,2.53447,45.5129,0.365041,5.29712,45.5835,143.456,-45.8812,-19.4878,1.8056,23.2656,51.0451,
GYRO Y,15,joueur_09,match_20220807,MT1,0.523921,81.0908,-0.179201,5.73767,81.0925,265.033,-96.0186,-41.1294,1.44777,41.4425,96.1644,
GYRO Z,15,joueur_09,match_20220807,MT1,1.61654,58.6175,0.168663,4.93869,58.6398,195.453,-64.422,-28.3737,1.6391,30.8856,67.5808,
NormeGradAcc,15,joueur_09,match_20220807,MT1,0.0432753,0.0447522,2.20471,11.0391,0.0622536,0.135935,0.00509222,0.012058,0.0276371,0.0595826,0.106694,0.1819047619047619
NormeGradGyro,15,joueur_09,match_20220807,MT1,5.299,5.31358,3.06033,21.0616,7.50424,14.7239,0.994916,1.87506,3.53016,7.15968,11.7361,
ACC X,30,joueur_09,match_20220807,MT1,0.04642,0.279558,0.790597,15.7072,0.283386,0.791553,-0.250847,-0.103357,0.0412142,0.189284,0.339646,
ACC Y,30,joueur_09,match_20220807,MT1,-0.825254,0.608669,0.209116,1.55043,1.02544,2.24501,-1.46416,-1.10121,-0.893028,-0.592817,0.0822822,
ACC Z,30,joueur_09,match_20220807,MT1,-0.462745,0.375714,-0.907289,2.81682,0.596065,1.1507,-0.964325,-0.686711,-0.367768,-0.216884,-0.0918984,
GYRO X,30,joueur_09,match_20220807,MT1,2.10139,44.1051,0.212807,8.12845,44.1551,135.53,-42.2902,-18.0892,1.57023,20.9774,46.2938,
GYRO Y,30,joueur_09,match_20220807,MT1,1.90592,70.642,-0.0996357,7.49596,70.6677,227.735,-78.1525,-31.247,2.15379,34.876,82.6785,
GYRO Z,30,joueur_09,match_20220807,MT1,2.30215,52.87,0.0126964,4.62409,52.9201,174.365,-52.8496,-23.3111,1.83483,26.8441,59.1041,
NormeGradAcc,30,joueur_09,match_20220807,MT1,0.0362849,0.0399926,2.15801,6.38202,0.054,0.120522,0.00424648,0.00931941,0.0220187,0.0480727,0.0905772,0.13637721755368815
NormeGradGyro,30,joueur_09,match_20220807,MT1,4.34018,4.65197,3.21051,20.1553,6.36224,12.5993,0.797438,1.49604,2.73513,5.60323,9.84472,
ACC X,45,joueur_09,match_20220807,MT1,-0.0190455,0.288769,0.0555752,7.79682,0.289396,0.820301,-0.340115,-0.179385,-0.0160664,0.144606,0.285145,
ACC Y,45,joueur_09,match_20220807,MT1,-0.900539,0.54648,-0.0653189,2.48349,1.05338,2.04951,-1.48031,-1.12622,-0.920999,-0.696556,-0.209909,
ACC Z,45,joueur_09,match_20220807,MT1,-0.425528,0.3531,-1.15879,3.9041,0.55295,1.0884,-0.911608,-0.566106,-0.344784,-0.209076,-0.0893539,
GYRO X,45,joueur_09,match_20220807,MT1,2.31873,44.0498,0.447215,11.1379,44.1108,127.526,-40.0817,-17.5446,1.85231,21.2551,44.8392,
GYRO Y,45,joueur_09,match_20220807,MT1,1.90073,72.0638,-0.206854,2.99614,72.0889,235.257,-83.2862,-33.9906,2.82384,39.2008,85.9443,
GYRO Z,45,joueur_09,match_20220807,MT1,2.30468,54.1147,-0.235935,8.28591,54.1637,173.193,-55.2929,-24.7846,1.52538,28.7168,59.6274,
NormeGradAcc,45,joueur_09,match_20220807,MT1,0.0371385,0.0395285,2.06135,5.6152,0.0542381,0.121506,0.00461578,0.010349,0.0231923,0.0494875,0.0907585,0.1373295985060691
NormeGradGyro,45,joueur_09,match_20220807,MT1,4.5414,4.64274,2.99502,15.0205,6.49457,12.6536,0.980178,1.7147,2.99978,5.76229,9.88686,
ACC X,15,joueur_09,match_20220807,MT2,-0.0211307,0.326015,0.371416,7.31243,0.326699,0.928873,-0.349013,-0.191741,-0.0288889,0.1318,0.300458,
ACC Y,15,joueur_09,match_20220807,MT2,-0.756332,0.673274,0.216076,1.1082,1.01259,2.39309,-1.45876,-1.05131,-0.867488,-0.442758,0.247546,
ACC Z,15,joueur_09,match_20220807,MT2,-0.478875,0.402455,-0.661322,3.08775,0.625533,1.24586,-1.00997,-0.701366,-0.394459,-0.232723,-0.0704744,
GYRO X,15,joueur_09,match_20220807,MT2,2.63705,60.4048,-0.181784,35.6626,60.4624,149.283,-45.7146,-17.6783,2.08631,22.3441,50.7997,
GYRO Y,15,joueur_09,match_20220807,MT2,2.80455,80.2689,0.0647872,9.31689,80.3179,248.938,-84.7066,-32.3452,2.37601,38.5311,90.689,
GYRO Z,15,joueur_09,match_20220807,MT2,2.44415,58.8589,-0.561092,16.1939,58.9096,183.61,-57.2037,-24.0282,2.04685,29.5005,63.8206,
NormeGradAcc,15,joueur_09,match_20220807,MT2,0.038254,0.0430467,1.92104,4.61117,0.0575881,0.131865,0.00312274,0.00800436,0.0227097,0.0517415,0.100329,0.15750700280112045
NormeGradGyro,15,joueur_09,match_20220807,MT2,5.2609,6.24536,3.85461,27.7749,8.16588,15.8869,0.697958,1.54217,3.22184,6.87033,11.9564,
ACC X,30,joueur_09,match_20220807,MT2,-0.0486701,0.250969,-0.216583,5.38447,0.255645,0.753995,-0.337791,-0.190059,-0.0376306,0.0971168,0.225664,
ACC Y,30,joueur_09,match_20220807,MT2,-0.871212,0.496196,0.297637,2.61753,1.00261,1.82441,-1.34056,-1.04523,-0.920211,-0.72862,-0.288025,
ACC Z,30,joueur_09,match_20220807,MT2,-0.427429,0.314206,-1.30978,2.83154,0.530491,0.991779,-0.86684,-0.561303,-0.349671,-0.22874,-0.118748,
GYRO X,30,joueur_09,match_20220807,MT2,2.53404,36.4462,0.101385,6.0415,36.5342,111.356,-33.8451,-13.7454,2.14286,18.4889,39.8237,
GYRO Y,30,joueur_09,match_20220807,MT2,2.2985,60.5565,-0.122518,2.76504,60.6001,200.844,-67.1308,-25.9602,2.33556,31.8858,72.1999,
GYRO Z,30,joueur_09,match_20220807,MT2,2.26622,46.3665,0.19295,5.47213,46.4218,144.296,-46.3158,-20.2329,1.77124,25.104,49.631,
NormeGradAcc,30,joueur_09,match_20220807,MT2,0.028209,0.0341361,2.31994,6.20576,0.0442834,0.102407,0.00263132,0.0064446,0.0161751,0.0343143,0.0721354,0.09140522875816993
NormeGradGyro,30,joueur_09,match_20220807,MT2,3.64176,3.90769,2.5296,8.95184,5.34158,11.3084,0.591598,1.22808,2.32758,4.45309,8.62946,
ACC X,45,joueur_09,match_20220807,MT2,0.0136413,0.274907,0.28163,6.10141,0.275246,0.828944,-0.306675,-0.143747,0.0116922,0.166134,0.319652,
ACC Y,45,joueur_09,match_20220807,MT2,-0.888141,0.556055,0.0369381,1.53516,1.04785,2.10421,-1.49955,-1.11239,-0.924691,-0.676739,-0.158171,
ACC Z,45,joueur_09,match_20220807,MT2,-0.440186,0.357165,-1.10613,2.02398,0.56686,1.13023,-0.970015,-0.612625,-0.339669,-0.205765,-0.0936394,
GYRO X,45,joueur_09,match_20220807,MT2,2.62029,41.8911,0.422342,7.34777,41.973,128.81,-40.8804,-17.7363,1.7827,21.3476,46.3696,
GYRO Y,45,joueur_09,match_20220807,MT2,1.8026,66.8082,0.0431292,2.52109,66.8325,221.975,-76.6872,-32.8031,1.60451,35.561,81.691,
GYRO Z,45,joueur_09,match_20220807,MT2,2.2227,53.1783,-0.0715942,2.15525,53.2247,180.725,-58.8047,-25.5347,1.89764,29.5102,63.5639,
NormeGradAcc,45,joueur_09,match_20220807,MT2,0.0370415,0.0393186,1.8465,3.93726,0.0540188,0.121891,0.00374044,0.00922925,0.0233864,0.0510129,0.09128,0.13975256769374417
NormeGradGyro,45,joueur_09,match_20220807,MT2,4.41246,4.31379,2.25551,8.36749,6.17079,12.5478,0.809969,1.54868,2.90043,5.99244,10.0153,
ACC X,15,joueur_18,match_20220807,MT1,-0.0768471,0.316418,-0.409092,3.38006,0.325616,0.96582,-0.433751,-0.263795,-0.0641159,0.118319,0.288786,
ACC Y,15,joueur_18,match_20220807,MT1,-0.932569,0.751204,-0.313299,0.200664,1.19749,2.65806,-2.01141,-1.2534,-0.940024,-0.530494,0.137807,
ACC Z,15,joueur_18,match_20220807,MT1,-0.400226,0.327578,-1.10905,3.22283,0.517192,1.00507,-0.833977,-0.579822,-0.332813,-0.184377,-0.0617558,
GYRO X,15,joueur_18,match_20220807,MT1,-1.44434,34.32,0.141749,3.30081,34.3504,109.199,-39.0278,-19.1535,-1.90227,15.9454,36.2718,
GYRO Y,15,joueur_18,match_20220807,MT1,4.94685,76.9145,-0.15366,1.34007,77.0734,262.007,-94.3366,-34.0078,6.57006,48.0469,97.8639,
GYRO Z,15,joueur_18,match_20220807,MT1,3.89049,47.3896,-0.146976,2.11207,47.549,160.393,-51.4058,-21.0962,3.33707,29.1974,61.5239,
NormeGradAcc,15,joueur_18,match_20220807,MT1,0.050348,0.0466374,1.28074,1.26086,0.0686292,0.142601,0.00653385,0.0150238,0.0323679,0.0757769,0.122367,0.18085434173669468
NormeGradGyro,15,joueur_18,match_20220807,MT1,4.72965,3.9381,1.72033,4.57446,6.15453,11.7359,1.05499,1.86567,3.52173,6.57066,10.0914,
ACC X,30,joueur_18,match_20220807,MT1,-0.0672232,0.302476,-0.115844,3.95091,0.309856,0.905227,-0.40041,-0.246575,-0.0686936,0.110323,0.283753,
ACC Y,30,joueur_18,match_20220807,MT1,-0.93242,0.701669,-0.278315,0.572847,1.16694,2.53841,-1.89955,-1.21275,-0.948106,-0.617108,0.0994103,
ACC Z,30,joueur_18,match_20220807,MT1,-0.369034,0.307602,-1.04643,2.88235,0.480422,0.945811,-0.794445,-0.527614,-0.303258,-0.161901,-0.0587349,
GYRO X,30,joueur_18,match_20220807,MT1,-1.13386,33.5965,0.12176,7.5333,33.6156,102.949,-35.8819,-17.6399,-2.12868,14.8959,34.8169,
GYRO Y,30,joueur_18,match_20220807,MT1,3.38594,71.4099,-0.135572,2.05583,71.4901,244.67,-83.2291,-31.8292,4.25242,40.5794,89.5081,
GYRO Z,30,joueur_18,match_20220807,MT1,3.05948,45.0152,-0.152087,2.69433,45.119,152.231,-48.24,-19.1532,3.13682,25.7396,54.5679,
NormeGradAcc,30,joueur_18,match_20220807,MT1,0.0446662,0.0439604,1.48519,2.21178,0.0626705,0.131244,0.00560891,0.0121517,0.0272423,0.0671397,0.110769,0.15061157796451913
NormeGradGyro,30,joueur_18,match_20220807,MT1,4.09267,3.62368,2.28056,10.8601,5.46635,10.5163,0.894235,1.59017,2.93996,5.54946,8.8497,
ACC X,45,joueur_18,match_20220807,MT1,-0.0507955,0.314319,-0.0697962,4.34507,0.318397,0.932003,-0.398498,-0.236869,-0.0545821,0.133932,0.315298,
ACC Y,45,joueur_18,match_20220807,MT1,-0.941146,0.702424,-0.356977,0.680413,1.17437,2.57706,-1.92876,-1.20399,-0.938156,-0.634248,0.0698657,
ACC Z,45,joueur_18,match_20220807,MT1,-0.375086,0.310972,-1.13657,3.43883,0.48723,0.953517,-0.791574,-0.537802,-0.309412,-0.172169,-0.0618747,
GYRO X,45,joueur_18,match_20220807,MT1,-1.31238,32.7072,-0.0194663,6.37919,32.7335,99.2682,-35.4943,-17.544,-1.6437,14.6731,33.0658,
GYRO Y,45,joueur_18,match_20220807,MT1,2.93204,76.7142,-0.18983,1.77048,76.7702,264.495,-90.6659,-32.5933,3.9651,41.7317,95.3893,
GYRO Z,45,joueur_18,match_20220807,MT1,2.99151,48.9701,-0.00710435,2.80219,49.0614,164.801,-52.621,-21.8281,2.99021,27.9708,58.5844,
NormeGradAcc,45,joueur_18,match_20220807,MT1,0.0465057,0.0450613,1.39525,1.53453,0.0647557,0.136529,0.0064183,0.013161,0.0280878,0.069818,0.11631,0.16478991596638656
NormeGradGyro,45,joueur_18,match_20220807,MT1,4.35401,3.79688,1.8386,4.83413,5.777,11.2644,1.00069,1.67616,3.04016,5.93225,9.6563,
ACC X,15,joueur_18,match_20220807,MT2,-0.0797739,0.283142,-0.242575,4.82868,0.294166,0.856114,-0.382285,-0.229888,-0.0774708,0.0696512,0.233739,
ACC Y,15,joueur_18,match_20220807,MT2,-0.90825,0.661786,-0.312004,1.49038,1.12378,2.50894,-1.68429,-1.10102,-0.951543,-0.686743,0.059324,
ACC Z,15,joueur_18,match_20220807,MT2,-0.405164,0.301239,-1.23782,3.5485,0.504879,0.930797,-0.818146,-0.553706,-0.329583,-0.217236,-0.10337,
GYRO X,15,joueur_18,match_20220807,MT2,-1.42407,31.2045,0.33983,6.75789,31.2369,93.3652,-32.5415,-16.2165,-2.16234,12.4189,31.3674,
GYRO Y,15,joueur_18,match_20220807,MT2,3.84502,67.8495,-0.0836935,2.85332,67.9584,235.645,-73.6573,-22.1377,4.22601,32.043,80.903,
GYRO Z,15,joueur_18,match_20220807,MT2,3.25335,43.5868,0.104372,3.69027,43.708,146.848,-42.6661,-18.318,3.0017,22.6524,50.2444,
NormeGradAcc,15,joueur_18,match_20220807,MT2,0.0385637,0.0448577,1.74143,2.76964,0.0591555,0.139346,0.00242991,0.00741404,0.0212701,0.0514503,0.108572,0.12984593837535013
NormeGradGyro,15,joueur_18,match_20220807,MT2,3.94795,4.11441,2.16539,7.06519,5.70216,12.0158,0.509467,1.19782,2.4808,5.36731,9.56525,
ACC X,30,joueur_18,match_20220807,MT2,-0.0992999,0.306005,-0.457421,6.93617,0.321713,0.909629,-0.420108,-0.259705,-0.0934006,0.064075,0.231431,
ACC Y,30,joueur_18,match_20220807,MT2,-0.882084,0.650744,-0.187802,1.07331,1.09615,2.44273,-1.66536,-1.11961,-0.927476,-0.628385,0.0748589,
ACC Z,30,joueur_18,match_20220807,MT2,-0.407534,0.334634,-0.148329,5.94955,0.527318,0.951359,-0.838973,-0.582959,-0.355364,-0.209082,-0.0963919,
GYRO X,30,joueur_18,match_20220807,MT2,-1.05695,34.9444,0.207149,6.55537,34.9603,104.005,-34.6707,-17.2003,-1.63042,14.6047,34.546,
GYRO Y,30,joueur_18,match_20220807,MT2,4.13357,67.5317,-0.177794,4.91468,67.6581,228.41,-70.9716,-23.028,5.2021,35.7458,80.6113,
GYRO Z,30,joueur_18,match_20220807,MT2,3.09111,46.3275,-0.121324,5.67433,46.4306,147.154,-44.8555,-19.1446,3.01733,25.8736,51.7029,
NormeGradAcc,30,joueur_18,match_20220807,MT2,0.0396031,0.0428413,1.71827,3.055,0.0583419,0.131129,0.00395129,0.00966188,0.0236274,0.0542046,0.105179,0.12794584500466855
NormeGradGyro,30,joueur_18,match_20220807,MT2,3.95482,3.97501,2.47367,9.662,5.60726,11.3871,0.716483,1.40541,2.63576,5.11688,9.02424,
ACC X,45,joueur_18,match_20220807,MT2,-0.0822892,0.298258,-0.0229679,6.17736,0.309402,0.872923,-0.400016,-0.252762,-0.0823979,0.0820277,0.251499,
ACC Y,45,joueur_18,match_20220807,MT2,-0.911612,0.624839,-0.192963,1.98663,1.1052,2.37906,-1.67079,-1.10754,-0.940258,-0.70853,0.00438724,
ACC Z,45,joueur_18,match_20220807,MT2,-0.398806,0.308969,-1.23303,5.63699,0.504488,0.934509,-0.809532,-0.537732,-0.334781,-0.207409,-0.0997749,
GYRO X,45,joueur_18,match_20220807,MT2,-1.07783,33.2468,0.401395,12.4351,33.2642,96.3389,-33.9385,-16.5214,-1.47274,13.9234,32.532,
GYRO Y,45,joueur_18,match_20220807,MT2,4.75659,66.8723,-0.366783,4.9377,67.0413,224.293,-71.2285,-26.4734,5.54308,37.9544,81.731,
GYRO Z,45,joueur_18,match_20220807,MT2,3.62142,44.9609,0.110629,4.26664,45.1065,148.59,-45.4734,-18.2188,3.23041,26.0851,52.297,
NormeGradAcc,45,joueur_18,match_20220807,MT2,0.0384295,0.042851,1.75318,3.15646,0.057559,0.128824,0.00388171,0.00873925,0.0213181,0.0530251,0.104349,0.12584500466853407
NormeGradGyro,45,joueur_18,match_20220807,MT2,3.84105,3.76645,2.56085,12.2157,5.37958,10.8028,0.752768,1.38674,2.58036,5.03615,8.66748,
ACC X,15,joueur_19,match_20220807,MT1,0.0126493,0.306185,-0.0386294,2.80937,0.306446,0.942651,-0.336561,-0.17185,0.00986072,0.197012,0.366988,
ACC Y,15,joueur_19,match_20220807,MT1,-0.93602,0.76934,-0.334418,0.00310506,1.21162,2.70904,-2.08491,-1.27913,-0.912499,-0.499427,0.144149,
ACC Z,15,joueur_19,match_20220807,MT1,0.41122,0.293725,0.805703,2.4077,0.505348,0.94715,0.0578514,0.235156,0.381708,0.565916,0.786342,
GYRO X,15,joueur_19,match_20220807,MT1,-0.561999,37.6368,0.14805,2.19795,37.641,122.377,-44.2015,-22.248,-1.76175,20.6393,45.0912,
GYRO Y,15,joueur_19,match_20220807,MT1,1.20111,73.613,-0.0399049,0.778848,73.6228,247.01,-91.6974,-41.3236,0.606915,43.5579,96.1334,
GYRO Z,15,joueur_19,match_20220807,MT1,3.6515,51.2107,-0.0845532,1.26564,51.3407,177.682,-61.9286,-21.0738,4.31876,29.453,66.9018,
NormeGradAcc,15,joueur_19,match_20220807,MT1,0.055146,0.0495295,1.07499,0.502922,0.0741232,0.151092,0.0066976,0.0145092,0.0384957,0.0851525,0.130998,0.22529878618113913
NormeGradGyro,15,joueur_19,match_20220807,MT1,4.87515,3.74535,1.69585,7.5282,6.14774,11.1762,1.10455,2.00322,3.98276,6.82607,9.78763,
ACC X,30,joueur_19,match_20220807,MT1,-0.0143964,0.285352,-0.0670879,10.7879,0.285715,0.833117,-0.314297,-0.154903,-0.0128934,0.126247,0.293534,
ACC Y,30,joueur_19,match_20220807,MT1,-0.940641,0.664769,-0.364721,1.48387,1.15183,2.57652,-1.81853,-1.14425,-0.927083,-0.746628,0.0129756,
ACC Z,30,joueur_19,match_20220807,MT1,0.360952,0.24112,1.02514,5.28009,0.43408,0.755398,0.116655,0.227506,0.327625,0.467337,0.645269,
GYRO X,30,joueur_19,match_20220807,MT1,-0.885968,32.4791,-0.0802647,4.36466,32.4912,99.6107,-32.6265,-16.9903,-2.76127,15.2956,35.6483,
GYRO Y,30,joueur_19,match_20220807,MT1,-0.217731,65.9112,0.113511,2.11414,65.9115,224.255,-80.0125,-32.7443,0.0161103,29.8367,79.3244,
GYRO Z,30,joueur_19,match_20220807,MT1,3.91252,42.548,-0.270378,4.08319,42.7275,143.013,-41.3133,-12.7898,4.80855,22.484,47.9856,
NormeGradAcc,30,joueur_19,match_20220807,MT1,0.0417441,0.0470259,1.69049,2.83527,0.0628808,0.142223,0.00455308,0.00879557,0.0207548,0.0616606,0.113128,0.14939309056956115
NormeGradGyro,30,joueur_19,match_20220807,MT1,3.76459,3.57334,2.01727,5.80976,5.19046,10.4033,0.774238,1.33147,2.42358,5.21472,8.52938,
ACC X,45,joueur_19,match_20220807,MT1,-0.039439,0.243825,0.0163719,5.33252,0.246994,0.745356,-0.296656,-0.168145,-0.0402496,0.0865828,0.227767,
ACC Y,45,joueur_19,match_20220807,MT1,-0.961314,0.56905,-0.347928,2.29,1.11711,2.30257,-1.59663,-1.10335,-0.93998,-0.825042,-0.252762,
ACC Z,45,joueur_19,match_20220807,MT1,0.336844,0.19887,1.35659,6.79085,0.391169,0.639471,0.139922,0.23515,0.312574,0.411179,0.566443,
GYRO X,45,joueur_19,match_20220807,MT1,-0.64077,27.4833,0.312312,3.69158,27.4907,83.7829,-29.7454,-16.0332,-2.50846,14.2735,31.3141,
GYRO Y,45,joueur_19,match_20220807,MT1,0.892101,60.6164,0.0602839,1.72524,60.623,208.814,-74.7598,-28.1751,0.90583,30.3067,71.9385,
GYRO Z,45,joueur_19,match_20220807,MT1,3.53054,36.4568,-0.108938,4.15446,36.6273,121.509,-33.0455,-11.0334,3.88193,19.1699,40.5262,
NormeGradAcc,45,joueur_19,match_20220807,MT1,0.0340578,0.0415029,1.90806,3.38789,0.0536882,0.127066,0.00428322,0.00748062,0.0153581,0.0442394,0.096509,0.11049019607843137
NormeGradGyro,45,joueur_19,match_20220807,MT1,3.07046,2.89105,2.11591,6.27551,4.21733,8.50471,0.738616,1.18786,1.99579,3.94228,7.12084,
ACC X,15,joueur_19,match_20220807,MT2,0.0357392,0.27048,-0.00708801,12.5291,0.272831,0.799722,-0.243066,-0.0913481,0.0310773,0.169839,0.314446,
ACC Y,15,joueur_19,match_20220807,MT2,-0.912603,0.655085,-0.466555,3.14306,1.12338,2.51665,-1.70938,-1.06602,-0.923082,-0.762906,0.0141934,
ACC Z,15,joueur_19,match_20220807,MT2,-0.375394,0.261743,-1.01504,4.93453,0.457635,0.878274,-0.709312,-0.467166,-0.343082,-0.247044,-0.0968155,
GYRO X,15,joueur_19,match_20220807,MT2,-1.94333,33.0952,0.106089,5.72063,33.1522,103.493,-38.4464,-17.9647,-1.14137,14.159,32.6047,
GYRO Y,15,joueur_19,match_20220807,MT2,3.38614,62.7389,0.0767917,2.64832,62.8302,211.794,-70.2483,-25.1769,1.37414,32.1806,80.8628,
GYRO Z,15,joueur_19,match_20220807,MT2,5.07452,42.5373,0.114655,4.07496,42.8389,146.557,-38.5076,-11.3745,3.6787,20.6083,51.7924,
NormeGradAcc,15,joueur_19,match_20220807,MT2,0.0395004,0.0491593,1.91394,4.93046,0.0630628,0.14706,0.00262516,0.00625153,0.0166503,0.0563482,0.115295,0.1492623716153128
NormeGradGyro,15,joueur_19,match_20220807,MT2,3.67228,3.76452,2.15216,8.06295,5.25901,10.7331,0.530972,1.08339,2.24658,5.2301,8.68433,
ACC X,30,joueur_19,match_20220807,MT2,0.0544034,0.247429,0.218883,8.46892,0.253339,0.731351,-0.210814,-0.0696762,0.051899,0.177374,0.316087,
ACC Y,30,joueur_19,match_20220807,MT2,-0.90988,0.625696,-0.143622,2.00314,1.10425,2.46468,-1.61045,-1.06844,-0.928601,-0.784724,-0.0049225,
